source,sentence,label
thien-nam-ngu-luc.no.txt,特蔑男子平花丁公𢜠𠒦和茹養餒咍󰠲旬運於𡗶丕𢧚厄渃排排干戈沛尚公羨奸邪丁公辞聀𧗱茹華闾昆群𫧾渃𬏝踈噠𠸜部領底除𫃸宗埃𪟽運奇丁公啫𠁀丿化聀燶莊周娘自寡部巴為官清茹庫昆踈仕𫯳和添兵革戰鋒,Nom
dvsktt,一祖肇之於前列聖󰱥之於後相傳正統百有餘年󰟸遭漢厄𦤶紊周綱幸頼人心有歸天命有在聖父皇上以帝室之胄紹祖宗之基䂓恢大業十八年餘二月二十六日被細人耿潝廷彦黨輩讒間遂使承轝播迁于外天下臣民無所依戴予皇父第五子以幼冲之資嗣艱大之業惟恐弗堪然上承慈命下徇轝情有弗克于辭者迺於今年正月初一日即位建元爲嘉泰元年寔頼大臣左相太尉長國公鄭松暨文武臣僚同心脩輔共安社稷将頒詔命六事用告迩遐多方一曰民經兵無恒産者並饒役二曰貧民漂居許回本貫饒差賦役三曰凡徔盗刼迯囚迯罪仍就該司出首饒赦四曰内外各衙門有見監囚人情輕者放赦五曰文武官有功者許陞爵一次六曰官員子孫屈滯者許具本,Chinese
DVSKTT,大越史記外紀全書卷之一.朝列大夫國子監司業兼史官修撰臣吳士連編.按黄帝時建萬國以交趾界於西南遠在百粤之表.堯命𦏁氏宅南交定南方交趾之地.禹别九州百粤爲楊州域交趾属焉.成周時始稱越裳氏越之名肇於此云.鴻龐氏紀.涇陽王.諱祿續神農氏之後也.,Chinese
tung-tay-ho-phu.no.txt,盎祥光槩苉彮玄爐梚頭涼圤瀓岲圩垣冣類鴻雁歌疜蠺丗吟句在渚孧僂鷖鳧坘歌竌想憹瑇周雅調吟哦牐蹱哛堯衢譃哰它戞趣怍庚乭准准拱歌筒舞藪仌苉乑妥類動植罕兜兜調弼鬼庵猢,Nom
12_giao-tu-phu_no.txt,𨉟沙地獄𦤾平欺意㐱可羅傷落沛條形𦛌分𠃩曲買别源干宇宇𣈘愁吁噅㗂哭輪廻閍刼𣜾吏𢧚𠊛,Nom
dvsktt,瑞天公主㱕諒州冬十月慶成廣自宮己巳十年宋紹興十九年春二月爪哇路貉暹羅三國商舶入海東乞居住販賣乃於海島等處立庄各雲屯買賣寳貨上進方物議事以廣原人虜七原廖伍故也造莅仁行宫庚午十一年宋紹興二十年春三月旱秋七月旱九月真臘人㓂乂安至𩅗濕山會暑濕多瘴死遂自潰,Chinese
vi-du-tu-dien-dan-giai-nf.no.txt,𡥙𡦫彊𡗉預猝𤡛𠁀次𠀧𠁑命羅𠁀𡦫孤𪧄㺧奶𫅷奴󰀎众奇莽孛所説恩󰪀盎那南㐌杜倘㐌奴那昆体生福慧兼奴㐱買可年㝵實谷㐌奴中史尼庄煩劄讓咁初遣朱昆奴粓共粥𠲝奴隊𩛷仿澄共旦固堆𠀧𣈜末󰟨朱𢧚𩈘曳𬏝箕󰑼𫇿𦲿押𫉎尼䃣點節奴瓢菊香奴拯特𤯩丕,Nom
thien-nam-ngu-luc.no.txt,眾心易散𢚸𠊛坤收明咍陳秩為胡差兵扒罪把朱户陳季厘𧡊亊㐌𧵆差𠊛郎告明人每𠳒户陳歇𫽄羣埃漢凔𡥙外𬡹𡾵業陳明人拯為𡭧分名托為陣實𥙩南邦𤾓𫔬兵孟𥙒郎,Nom
https://chunom.org/shelf/corpus/5/,𡗶朱貴子𣃣〓𣃣唫婆𦖑𧡊仍𤴬𢚸𥢆𨉓只𤋵良心𠇍𡗶,Nom
dvsktt,阿附賊臣者可以監矣十二月天然僧范書温反嘯聚於國威上路僣稱大號以古所廬墓人阮宗邁羅社人阮可行為行遣招集無籍之徒為神奇勇鬪無限等軍犯京師二帝幸北江州師温居三日出屯嫩州上皇遣左聖翊軍黄奉世討平之先是奉世弘化人與占城守将羅皚相持於黄江至是得命道出蔑江時冬天水涸浚開水道以出戰艦,Chinese
